Stage Name, Latitude, Longitude, Elevation
1A_NashvilleToPaducah,36.14680700,-86.77556000,160.40
1A_NashvilleToPaducah,36.14685500,-86.77542700,160.50
1A_NashvilleToPaducah,36.14690200,-86.77533200,160.20
1A_NashvilleToPaducah,36.14695500,-86.77523800,159.90
1A_NashvilleToPaducah,36.14702400,-86.77514700,159.40
1A_NashvilleToPaducah,36.14709400,-86.77508300,158.80
1A_NashvilleToPaducah,36.14708300,-86.77497500,159.20
1A_NashvilleToPaducah,36.14706100,-86.77476100,159.60
1A_NashvilleToPaducah,36.14713400,-86.77452600,158.70
1A_NashvilleToPaducah,36.14719000,-86.77444700,158.10
1A_NashvilleToPaducah,36.14724200,-86.77442400,157.50
1A_NashvilleToPaducah,36.14730000,-86.77440400,156.80
1A_NashvilleToPaducah,36.14731600,-86.77454700,156.90
1A_NashvilleToPaducah,36.14731600,-86.77454700,156.90
1A_NashvilleToPaducah,36.14739900,-86.77526600,156.00
1A_NashvilleToPaducah,36.14740100,-86.77533700,155.80
1A_NashvilleToPaducah,36.14739800,-86.77541100,155.70
1A_NashvilleToPaducah,36.14738800,-86.77550700,155.40
1A_NashvilleToPaducah,36.14736800,-86.77562300,155.20
1A_NashvilleToPaducah,36.14735500,-86.77568100,155.10
1A_NashvilleToPaducah,36.14733900,-86.77573500,155.20
1A_NashvilleToPaducah,36.14730800,-86.77581300,155.30
1A_NashvilleToPaducah,36.14727300,-86.77588500,155.40
1A_NashvilleToPaducah,36.14720900,-86.77598900,155.50
1A_NashvilleToPaducah,36.14712200,-86.77610300,155.50
1A_NashvilleToPaducah,36.14704000,-86.77618700,155.60
1A_NashvilleToPaducah,36.14698400,-86.77623100,155.70
1A_NashvilleToPaducah,36.14689900,-86.77628100,155.90
1A_NashvilleToPaducah,36.14679800,-86.77632400,156.70
1A_NashvilleToPaducah,36.14668800,-86.77635300,157.50
1A_NashvilleToPaducah,36.14661500,-86.77635800,158.00
1A_NashvilleToPaducah,36.14381700,-86.77656100,165.60
1A_NashvilleToPaducah,36.14365100,-86.77654600,164.60
1A_NashvilleToPaducah,36.14356300,-86.77652500,164.30
1A_NashvilleToPaducah,36.14343600,-86.77647500,163.70
1A_NashvilleToPaducah,36.14334100,-86.77642300,163.40
1A_NashvilleToPaducah,36.14316900,-86.77627000,163.20
1A_NashvilleToPaducah,36.14293200,-86.77602400,161.90
1A_NashvilleToPaducah,36.14282600,-86.77594300,161.50
1A_NashvilleToPaducah,36.14265100,-86.77583800,161.10
1A_NashvilleToPaducah,36.14247500,-86.77578500,160.60
1A_NashvilleToPaducah,36.14224600,-86.77575400,159.90
1A_NashvilleToPaducah,36.14212700,-86.77576900,159.70
1A_NashvilleToPaducah,36.14200500,-86.77638800,160.80
1A_NashvilleToPaducah,36.14187300,-86.77706400,163.30
1A_NashvilleToPaducah,36.14181800,-86.77735600,165.00
1A_NashvilleToPaducah,36.14179600,-86.77749900,165.90
1A_NashvilleToPaducah,36.14176200,-86.77793600,168.70
1A_NashvilleToPaducah,36.14174900,-86.77811500,169.50
1A_NashvilleToPaducah,36.14171900,-86.77852800,171.50
1A_NashvilleToPaducah,36.14171900,-86.77856000,171.70
1A_NashvilleToPaducah,36.14171700,-86.77870100,172.50
1A_NashvilleToPaducah,36.14181700,-86.77871700,172.60
1A_NashvilleToPaducah,36.14243000,-86.77879300,173.80
1A_NashvilleToPaducah,36.14249800,-86.77880200,173.90
1A_NashvilleToPaducah,36.14268300,-86.77882500,173.90
1A_NashvilleToPaducah,36.14277200,-86.77882400,173.70
1A_NashvilleToPaducah,36.14287500,-86.77882800,173.40
1A_NashvilleToPaducah,36.14287500,-86.77882800,173.40
1A_NashvilleToPaducah,36.14313900,-86.77883800,171.90
1A_NashvilleToPaducah,36.14316700,-86.77883900,171.70
1A_NashvilleToPaducah,36.14353100,-86.77885300,169.70
1A_NashvilleToPaducah,36.14389700,-86.77887200,168.00
1A_NashvilleToPaducah,36.14403800,-86.77888000,167.20
1A_NashvilleToPaducah,36.14445500,-86.77890100,164.40
1A_NashvilleToPaducah,36.14465100,-86.77891200,163.40
1A_NashvilleToPaducah,36.14485700,-86.77892300,162.80
1A_NashvilleToPaducah,36.14505100,-86.77893300,162.60
1A_NashvilleToPaducah,36.14510100,-86.77893500,162.50
1A_NashvilleToPaducah,36.14528500,-86.77894600,162.30
1A_NashvilleToPaducah,36.14543500,-86.77895500,161.90
1A_NashvilleToPaducah,36.14554900,-86.77896200,161.40
1A_NashvilleToPaducah,36.14585800,-86.77898100,159.40
1A_NashvilleToPaducah,36.14623800,-86.77900300,156.40
1A_NashvilleToPaducah,36.14662100,-86.77902600,154.70
1A_NashvilleToPaducah,36.14671300,-86.77903100,154.40
1A_NashvilleToPaducah,36.14673800,-86.77903300,154.30
1A_NashvilleToPaducah,36.14699700,-86.77904200,153.30
1A_NashvilleToPaducah,36.14739800,-86.77905600,152.20
1A_NashvilleToPaducah,36.14769400,-86.77907100,151.60
1A_NashvilleToPaducah,36.14793100,-86.77908300,149.80
1A_NashvilleToPaducah,36.14811100,-86.77909200,148.90
1A_NashvilleToPaducah,36.14818700,-86.77909600,148.50
1A_NashvilleToPaducah,36.14836700,-86.77910500,147.90
1A_NashvilleToPaducah,36.14862900,-86.77911800,146.50
1A_NashvilleToPaducah,36.14880900,-86.77912700,145.90
1A_NashvilleToPaducah,36.14883300,-86.77912800,145.90
1A_NashvilleToPaducah,36.14900100,-86.77913700,145.70
1A_NashvilleToPaducah,36.14901300,-86.77913800,145.60
1A_NashvilleToPaducah,36.14958900,-86.77916700,145.90
1A_NashvilleToPaducah,36.14970200,-86.77917100,145.70
1A_NashvilleToPaducah,36.14980800,-86.77917700,145.50
1A_NashvilleToPaducah,36.14991900,-86.77918300,145.30
1A_NashvilleToPaducah,36.15017100,-86.77919700,144.80
1A_NashvilleToPaducah,36.15040400,-86.77921000,144.50
1A_NashvilleToPaducah,36.15059300,-86.77922000,144.30
1A_NashvilleToPaducah,36.15074100,-86.77922800,144.00
1A_NashvilleToPaducah,36.15082700,-86.77923300,144.00
1A_NashvilleToPaducah,36.15103600,-86.77924000,143.60
1A_NashvilleToPaducah,36.15114900,-86.77925100,143.30
1A_NashvilleToPaducah,36.15124600,-86.77925600,143.10
1A_NashvilleToPaducah,36.15128400,-86.77925800,143.10
1A_NashvilleToPaducah,36.15179700,-86.77928600,142.50
1A_NashvilleToPaducah,36.15180500,-86.77928700,142.50
1A_NashvilleToPaducah,36.15200800,-86.77929300,142.10
1A_NashvilleToPaducah,36.15223900,-86.77930600,141.50
1A_NashvilleToPaducah,36.15273900,-86.77932800,138.80
1A_NashvilleToPaducah,36.15281400,-86.77933100,138.60
1A_NashvilleToPaducah,36.15297900,-86.77933700,138.10
1A_NashvilleToPaducah,36.15339000,-86.77936600,137.80
1A_NashvilleToPaducah,36.15343400,-86.77936900,137.80
1A_NashvilleToPaducah,36.15401900,-86.77939800,140.30
1A_NashvilleToPaducah,36.15412800,-86.77939800,140.60
