Latitude,Longitude,Elevation,Distance,Orientation
37.08982300,-88.59664200,100.00,0.00,243.01
37.08975800,-88.59680200,102.00,0.00,243.27
37.08925100,-88.59806400,102.00,0.00,242.95
37.08871700,-88.59937500,102.00,0.00,0.00
37.08871700,-88.59937500,102.00,0.00,153.19
37.08778400,-88.59878400,104.00,0.00,153.18
37.08771300,-88.59873900,104.00,0.00,153.23
37.08764500,-88.59869600,104.00,0.00,153.04
37.08743800,-88.59856400,104.00,0.01,153.19
37.08669300,-88.59809200,108.00,0.01,153.28
37.08621600,-88.59779100,105.00,0.01,153.22
37.08568500,-88.59745500,106.00,0.01,152.21
37.08468000,-88.59679100,105.00,0.01,152.73
37.08369900,-88.59615700,106.00,0.01,153.12
37.08348500,-88.59602100,104.00,0.01,153.25
37.08245800,-88.59537200,104.00,0.01,138.23
37.08234100,-88.59524100,104.00,0.01,132.77
37.08215800,-88.59499300,105.00,0.01,123.43
37.08200000,-88.59469300,105.00,0.01,120.36
37.08164300,-88.59392900,102.00,0.01,121.08
37.08140400,-88.59343200,100.00,0.01,131.88
37.08121300,-88.59316500,103.00,0.01,141.30
37.08098500,-88.59293600,103.00,0.01,148.75
37.08081800,-88.59280900,103.00,0.01,140.43
37.08062300,-88.59260700,103.00,0.01,155.54
37.07979700,-88.59213600,102.00,0.02,153.42
37.07776100,-88.59085900,102.00,0.02,153.39
37.07709200,-88.59043900,103.00,0.02,0.00
37.07709200,-88.59043900,103.00,0.02,153.38
37.07536800,-88.58935600,103.00,0.02,153.39
37.07257800,-88.58760400,103.00,0.02,153.13
37.07167900,-88.58703300,105.00,0.02,153.01
37.07116200,-88.58670300,104.00,0.03,152.05
37.07053200,-88.58628400,104.00,0.03,146.92
37.07021600,-88.58602600,101.00,0.03,138.13
37.06994000,-88.58571600,100.00,0.03,131.61
37.06965800,-88.58531800,103.00,0.03,124.24
37.06907800,-88.58425000,106.00,0.03,124.42
37.06839500,-88.58300100,110.00,0.03,134.41
37.06817300,-88.58271700,104.00,0.03,134.48
37.06805000,-88.58256000,103.00,0.03,148.04
37.06759600,-88.58220500,102.00,0.03,155.83
37.06754800,-88.58217800,102.00,0.03,157.24
37.06735400,-88.58207600,101.00,0.03,158.72
37.06591400,-88.58137300,100.00,0.03,157.50
37.06560000,-88.58121000,100.00,0.03,159.36
